Kood	Nimetus	Unik	Inittase	Mintase	Maxtase	Origregister
MK	maakond	TRUE	1	1	1	maaregister
OV	omavalitsus	TRUE	2	2	2	maaregister
AY	asustusüksus	TRUE	3	3	3	maaregister
LO	linnaosa	TRUE	3	3	3	maaregister
LP	liikluspind	TRUE	5	5	5	LP register
VK	väikekoht	TRUE	4	4	4	VK register
CU	maaüksus	FALSE	6, 7, 8	6	8	maaregister
KN	kohanimi	TRUE	6	6	6	kohanimeregister
EE	elamu	TRUE	6, 7, 8	6	8	ehitisregister
ME	mitteelamu	FALSE	6, 7, 8	6	8	ehitisregister
RA	rajatis	FALSE		3	7	ehitisregister
ER	eluruum	TRUE	8	8	8	ehitisregister
MR	mitteeluruum	TRUE	8	8	8	ehitisregister
TT	teeregistri tee	FALSE	6	6	6	kohanimeregister
MU	muinsuskaitseobjekt	FALSE	6			
